,Season,Round,Team,Opponent,Venue,Attendance,Formation,Opp Formation,xG,xGA,Poss,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,Result
0,2025,Matchweek 1,Napoli,Hellas Verona,Away,20027,3-4-3,3-4-3,1,1.7,67,14,4,17.8,0,0,0,0,3,L
1,2025,Matchweek 2,Napoli,Bologna,Home,45000,3-4-3,4-3-3,2.5,0.6,39,16,5,17.5,0,0,0,3,0,W
2,2025,Matchweek 3,Napoli,Parma,Home,50000,3-4-3,4-2-3-1,2.2,1.7,55,29,7,17.5,1,0,0,2,1,W
3,2025,Matchweek 4,Napoli,Cagliari,Away,15733,3-4-3,3-4-3,1.9,1,49,13,5,16,0,0,0,4,0,W
4,2025,Matchweek 5,Napoli,Juventus,Away,40295,4-2-3-1,4-2-3-1,0.3,0.3,36,8,1,23.4,0,0,0,0,0,D
5,2025,Matchweek 6,Napoli,Monza,Home,50000,4-3-3,3-4-3,1.1,0.3,49,11,2,13.8,0,0,0,2,0,W
6,2025,Matchweek 7,Napoli,Como,Home,50000,4-2-3-1,4-2-3-1,1.9,0.4,41,8,5,18.1,0,1,1,3,1,W
7,2025,Matchweek 8,Napoli,Empoli,Away,12000,4-3-3,3-1-4-2,1.3,0.7,50,8,0,16.7,0,1,1,1,0,W
8,2025,Matchweek 9,Napoli,Lecce,Home,51103,4-3-3,4-5-1,2.7,0.7,64,24,8,14.8,0,0,0,1,0,W
9,2025,Matchweek 10,Napoli,Milan,Away,73507,4-3-3,4-3-3,1.1,0.7,39,9,4,17.9,0,0,0,2,0,W
10,2025,Matchweek 11,Napoli,Atalanta,Home,50873,4-3-3,3-4-1-2,0.8,1.2,50,13,3,17.4,0,0,0,0,3,L
11,2025,Matchweek 12,Napoli,Inter,Away,72951,4-3-3,3-5-2,0.7,1.5,47,5,2,9.5,0,0,0,1,1,D
12,2025,Matchweek 13,Napoli,Roma,Home,51164,4-3-3,4-4-1-1,1.4,0.6,63,14,2,16.8,1,0,0,1,0,W
13,2025,Matchweek 14,Napoli,Torino,Away,25060,4-3-3,3-5-2,1.4,0.3,52,16,6,13.9,0,0,0,1,0,W
14,2025,Matchweek 15,Napoli,Lazio,Home,50000,4-3-3,4-2-3-1,0.5,0.3,56,12,1,20.7,1,0,0,0,1,L
15,2025,Matchweek 16,Napoli,Udinese,Away,19981,4-3-3,3-5-2,2.2,1.4,70,17,4,13.3,0,0,0,3,1,W
16,2025,Matchweek 17,Napoli,Genoa,Away,33435,4-3-3,4-2-3-1,1.2,1,62,12,2,14.6,0,0,0,2,1,W
17,2025,Matchweek 18,Napoli,Venezia,Home,51199,4-3-3,3-4-1-2,1.9,0.2,66,24,7,18.4,0,0,1,1,0,W
18,2025,Matchweek 19,Napoli,Fiorentina,Away,21685,4-3-3,3-4-3,1.6,1,52,9,3,15.8,0,1,1,3,0,W
19,2025,Matchweek 20,Napoli,Hellas Verona,Home,48750,4-3-3,3-4-1-2,1.1,0.3,69,14,2,19.4,0,0,0,2,0,W
20,2025,Matchweek 21,Napoli,Atalanta,Away,22874,4-3-3,3-4-1-2,0.8,0.7,44,6,3,16.9,0,0,0,3,2,W
21,2025,Matchweek 22,Napoli,Juventus,Home,53589,4-3-3,4-2-3-1,2.3,0.8,49,13,2,15.9,1,1,1,2,1,W
